schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
storage,objects,Users can upload their own competency documents,PERMISSIVE,{authenticated},INSERT,null,"((bucket_id = 'documents'::text) AND ((storage.foldername(name))[1] = 'competency-documents'::text) AND (((storage.foldername(name))[2] = (auth.uid())::text) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))) OR (EXISTS ( SELECT 1
   FROM (profiles admin_profile
     JOIN profiles target_profile ON ((admin_profile.organization_id = target_profile.organization_id)))
  WHERE ((admin_profile.id = auth.uid()) AND (admin_profile.role = 'org_admin'::text) AND ((target_profile.id)::text = (storage.foldername(objects.name))[2]))))))"
storage,objects,Users can upload vessel images for own org,PERMISSIVE,{authenticated},INSERT,null,"((bucket_id = 'vessel-images'::text) AND ((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))))"
storage,objects,Users can view accessible 3D models,PERMISSIVE,{authenticated},SELECT,"((bucket_id = '3d-models'::text) AND (((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) OR ((storage.foldername(name))[2] IN ( SELECT a.id
   FROM (assets a
     JOIN shared_assets sa ON ((a.id = sa.asset_id)))
  WHERE (sa.shared_with_organization_id = ( SELECT profiles.organization_id
           FROM profiles
          WHERE (profiles.id = auth.uid())))))))",null
storage,objects,Users can view accessible scan data,PERMISSIVE,{authenticated},SELECT,"((bucket_id = 'scan-data'::text) AND (((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) OR ((storage.foldername(name))[2] IN ( SELECT a.id
   FROM (assets a
     JOIN shared_assets sa ON ((a.id = sa.asset_id)))
  WHERE (sa.shared_with_organization_id = ( SELECT profiles.organization_id
           FROM profiles
          WHERE (profiles.id = auth.uid())))))))",null
storage,objects,Users can view accessible scan images,PERMISSIVE,{authenticated},SELECT,"((bucket_id = 'scan-images'::text) AND (((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) OR ((storage.foldername(name))[2] IN ( SELECT a.id
   FROM (assets a
     JOIN shared_assets sa ON ((a.id = sa.asset_id)))
  WHERE (sa.shared_with_organization_id = ( SELECT profiles.organization_id
           FROM profiles
          WHERE (profiles.id = auth.uid())))))))",null
storage,objects,Users can view accessible vessel images,PERMISSIVE,{authenticated},SELECT,"((bucket_id = 'vessel-images'::text) AND (((storage.foldername(name))[1] IN ( SELECT (profiles.organization_id)::text AS organization_id
   FROM profiles
  WHERE (profiles.id = auth.uid()))) OR ((storage.foldername(name))[2] IN ( SELECT a.id
   FROM (assets a
     JOIN shared_assets sa ON ((a.id = sa.asset_id)))
  WHERE (sa.shared_with_organization_id = ( SELECT profiles.organization_id
           FROM profiles
          WHERE (profiles.id = auth.uid())))))))",null
storage,objects,Users can view controlled documents,PERMISSIVE,{authenticated},SELECT,((bucket_id = 'documents'::text) AND ((storage.foldername(name))[1] = 'controlled-documents'::text)),null
storage,objects,Users can view their own competency documents,PERMISSIVE,{authenticated},SELECT,"((bucket_id = 'documents'::text) AND (((storage.foldername(name))[2] = (auth.uid())::text) OR (EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text)))) OR (EXISTS ( SELECT 1
   FROM (profiles p1
     JOIN profiles p2 ON ((p1.organization_id = p2.organization_id)))
  WHERE ((p1.id = auth.uid()) AND (p1.role = 'org_admin'::text) AND ((p2.id)::text = (storage.foldername(objects.name))[2]))))))",null
public,organizations,organizations_delete_new,PERMISSIVE,{authenticated},DELETE,(auth_is_admin() = true),null
public,organizations,organizations_insert_new,PERMISSIVE,{authenticated},INSERT,null,(auth_is_admin() = true)
public,organizations,organizations_select_new,PERMISSIVE,{authenticated},SELECT,true,null
public,organizations,organizations_update_new,PERMISSIVE,{authenticated},UPDATE,((auth_is_admin() = true) OR ((auth_is_org_admin() = true) AND (id = auth_user_org_id()))),null
public,password_reset_codes,Service role only - delete,PERMISSIVE,{service_role},DELETE,true,null
public,password_reset_codes,Service role only - insert,PERMISSIVE,{service_role},INSERT,null,true
public,password_reset_codes,Service role only - select,PERMISSIVE,{service_role},SELECT,true,null
public,password_reset_codes,Service role only - update,PERMISSIVE,{service_role},UPDATE,true,null
public,permission_requests,permission_requests_insert_new,PERMISSIVE,{authenticated},INSERT,null,(user_id = auth.uid())
public,permission_requests,permission_requests_select_new,PERMISSIVE,{authenticated},SELECT,((user_id = auth.uid()) OR (auth_is_admin() = true) OR (auth_is_org_admin() = true)),null
public,permission_requests,permission_requests_update_new,PERMISSIVE,{authenticated},UPDATE,((auth_is_admin() = true) OR (auth_is_org_admin() = true)),null
